,College_Name,State,UG_fee,PG_fee,Rating,Academic,Accommodation,Faculty,Infrastructure,Placement,Social_Life
705,"ICFAI University, West Tripura ",Tripura,"1,30,000","1,11,000",8,8.1,7.6,8.1,8.3,7.6,8.5
706,Indian Institute of Information Technology ,Tripura,"2,06,200",--,8.4,8.9,7.6,8.9,8.4,8.1,8.6
707,"Tripura Institute of Technology, Agartala ",Tripura,"12,180","6,751",7.6,7.8,6.5,8.2,8.3,6.8,8.1
708,Techno College of Engineering Agartala ,Tripura,"98,000",--,8,7.6,7.4,7.6,9.2,7.8,8.4
709,"Tripura University, West Tripura ",Tripura,"55,300","5,200",7.5,8,7.1,8.4,7.6,6,8
710,"TTAADC Polytechnic Institute, West Tripura ",Tripura,"6,750",--,--,--,--,--,--,--,--
711,Sikkim Manipal University ,Sikkim,"2,60,000","1,74,000",7.4,7.9,6.5,8.2,7.6,6.8,7.4
712,National Institute of Technology ,Sikkim,"1,39,400","82,900",7.5,8.1,7.2,8,6.5,7.8,7.6
713,"SRM University Sikkim, Gangtok ",Sikkim,"2,25,000",--,8.1,7.7,7.1,8.5,8.3,8.3,8.4
714,Vinayaka Missions Sikkim University ,Sikkim,--,--,7.8,7.8,7.8,8,7.8,7.5,7.8
715,College of Agricultural Engineering and Post Harvest Technology ,Sikkim,"4,280",--,6.8,6.8,6.2,7.1,6.6,6.6,7.4
716,National Institute of Technology ,Manipur,"1,47,700","89,400",7.9,7.9,7.1,8.2,7.4,8.4,8.2
717,Indian Institute of Information Technology ,Manipur,"1,87,945","21,795",6.8,7.1,6.7,7.6,6.3,6.6,6.2
718,Manipur Institute of Technology ,Manipur,"69,200","75,900",7,7,6.5,7.3,7,7,7
719,Manipur Technical University ,Manipur,"63,000",--,8.3,--,--,--,--,--,--
720,Central Agricultural University ,Manipur,"2,980","5,500",7.5,8,6.7,7.5,9,6.8,7
721,Manipur University ,Manipur,"61,250","61,250",8.1,8.4,8.2,8.5,7.7,7.2,8.4
722,"Government Polytechnic, Imphal ",Manipur,--,--,--,--,--,--,--,--,--
723,"Bir Tikendrajit University, Imphal ",Manipur,"1,60,000","1,60,000",--,--,--,--,--,--,--
724,National Institute of Technology ,Mizoram,"1,36,500","82,500",5.4,6.3,4.5,6.4,3.9,6.5,5
725,"Mizoram University, School of Engineering and Technology ",Mizoram,"29,000",--,5.7,6,2,7.5,6,5.5,7
726,"Mizoram Polytechnic, Lunglei ",Mizoram,"5,550",--,--,--,--,--,--,--,--
727,Mizoram University ,Mizoram,"39,150","43,000",8,8.7,7,8.8,8,7.6,7.9
728,National Institute of Electronics & Information Technology ,Mizoram,"44,560","33,950",5.3,7,6,--,7,1,--
729,"Dr. B R Ambedkar Institute of Technology, Port Blair ",Andaman,"12,083","4,780",--,--,--,--,--,--,--
730,"Plastindia International University, Dadra & Nagar Haveli ",Dadra,--,--,--,--,--,--,--,--,--
731,"Government Polytechnic, Daman ",Daman,"3,575","8,280",--,--,--,--,--,--,--
